strain	name	date	region	country	host	passage_type	sra_accession	abbr_authors	authors	institution
KY369914.1	HCoV_229E/Seattle/USA/SC9773/2016	2016-XX-XX	North America	USA	Homo sapiens		SRR19134710	Greninger et al	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine
KY369913.1	HCoV_229E/Seattle/USA/SC1073/2016	2016-XX-XX	North America	USA	Homo sapiens			Greninger et al	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine
KY369912.1	HCoV_229E/Seattle/USA/SC9731/2016	2016-XX-XX	North America	USA	Homo sapiens		SRR19134716	Greninger et al	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine
KY369911.1	HCoV_229E/Seattle/USA/SC1212/2016	2016-XX-XX	North America	USA	Homo sapiens			Greninger et al	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine
KY369910.1	HCoV_229E/Seattle/USA/SC1143/2016	2016-XX-XX	North America	USA	Homo sapiens			Greninger et al	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine
KY369909.2	HCoV_229E/Seattle/USA/SC677/2016	2016-XX-XX	North America	USA	Homo sapiens		SRR5809357,SRR5809358,SRR5809359	Greninger et al	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine
KY369908.1	HCoV_229E/Seattle/USA/SC579/2016	2016-XX-XX	North America	USA	Homo sapiens			Greninger et al	Greninger,A.L.,Makhsous,N.,Kuypers,J.M.,Shean,R.C.,Jerome,K.R.	UW, Lab Medicine
KY073748.1		2010-06-XX	Africa	Kenya	Macronycteris vittatus			Tao et al	Tao,Y.,Shi,M.,Chommanard,C.,Queen,K.,Zhang,J.,Markotter,W.,Kuzmin,I.V.,Holmes,E.C.,Tong,S.,Kuzmin,I.	Centers for Disease Control and Prevention, Division of Viral Diseases
KY073747.1		2009-06-20	Africa	Kenya	Hipposideros			Tao et al	Tao,Y.,Shi,M.,Chommanard,C.,Queen,K.,Zhang,J.,Markotter,W.,Kuzmin,I.V.,Holmes,E.C.,Tong,S.,Kuzmin,I.	Centers for Disease Control and Prevention, Division of Viral Diseases
KX286258.1	PREDICT_ZB12057	2012-07-30	Africa	Republic of the Congo	Hipposideros caffer			Anthony et al	Anthony,S.J.,Johnson,C.K.,Greig,D.J.,Kramer,S.,Che,X.,Wells,H.,Hicks,A.L.,Joly,D.O.,Wolfe,N.D.,Daszak,P.,Karesh,W.,Lipkin,W.I.,Morse,S.S.,Mazet,J.A.,Goldstein,T.	One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis
KX285804.1	PREDICT_OTBA42-20130602	2013-05-30	Africa	Uganda	Hipposideros			Anthony et al	Anthony,S.J.,Johnson,C.K.,Greig,D.J.,Kramer,S.,Che,X.,Wells,H.,Hicks,A.L.,Joly,D.O.,Wolfe,N.D.,Daszak,P.,Karesh,W.,Lipkin,W.I.,Morse,S.S.,Mazet,J.A.,Goldstein,T.	One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis
KX285803.1	PREDICT_OTBA41-20130602	2013-05-30	Africa	Uganda	Rhinolophus			Anthony et al	Anthony,S.J.,Johnson,C.K.,Greig,D.J.,Kramer,S.,Che,X.,Wells,H.,Hicks,A.L.,Joly,D.O.,Wolfe,N.D.,Daszak,P.,Karesh,W.,Lipkin,W.I.,Morse,S.S.,Mazet,J.A.,Goldstein,T.	One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis
KX284955.1	PREDICT-GVF-CM-ECO06296	2012-09-09	Africa	Cameroon	Hipposideros caffer			Anthony et al	Anthony,S.J.,Johnson,C.K.,Greig,D.J.,Kramer,S.,Che,X.,Wells,H.,Hicks,A.L.,Joly,D.O.,Wolfe,N.D.,Daszak,P.,Karesh,W.,Lipkin,W.I.,Morse,S.S.,Mazet,J.A.,Goldstein,T.	One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis
KX284928.1	PREDICT-ZB12046	2012-07-30	Africa	Republic of the Congo	Hipposideros			Anthony et al	Anthony,S.J.,Johnson,C.K.,Greig,D.J.,Kramer,S.,Che,X.,Wells,H.,Hicks,A.L.,Joly,D.O.,Wolfe,N.D.,Daszak,P.,Karesh,W.,Lipkin,W.I.,Morse,S.S.,Mazet,J.A.,Goldstein,T.	One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis
KX284927.1	PREDICT-ZB12027	2012-07-30	Africa	Republic of the Congo	Hipposideros ruber			Anthony et al	Anthony,S.J.,Johnson,C.K.,Greig,D.J.,Kramer,S.,Che,X.,Wells,H.,Hicks,A.L.,Joly,D.O.,Wolfe,N.D.,Daszak,P.,Karesh,W.,Lipkin,W.I.,Morse,S.S.,Mazet,J.A.,Goldstein,T.	One Health Institute & Karen C Drayer Wildlife Health Center, School of Veterinary Medicine, University of California, Davis
KX268229.1		2014-02-XX	Asia	India	Homo sapiens			Nandhini et al	Nandhini,G.,Sujatha,S.	Jawaharlal Institute of Postgraduate Medical Education & Research (JIPMER), Microbiology
KX255651.1		2012-05-XX	Asia	India	Homo sapiens			Nandhini et al	Nandhini,G.,Sujatha,S.	Jawaharlal Institute of Postgraduate Medical Education & Research (JIPMER), Microbiology
KU291449.1	Camel229E-CoV/KCSP1/KEN/2015	2015-XX-XX	Africa	Kenya	Camelus dromedarius			Corman et al	Corman,V.M.,Eckerle,I.,Memish,Z.A.,Liljander,A.M.,Dijkman,R.,Jonsdottir,H.,Juma Ngeiywa,K.J.,Kamau,E.,Younan,M.,Al Masri,M.,Assiri,A.,Gluecks,I.,Musa,B.E.,Meyer,B.,Muller,M.A.,Hilali,M.,Bornstein,S.,Wernery,U.,Thiel,V.,Jores,J.,Drexler,J.F.,Drosten,C.	University of Bonn Medical Centre, Institute of Virology
KU291448.1	HCoV-229E/BN1/GER/2015	2015-XX-XX	Europe	Germany	Homo sapiens			Corman et al	Corman,V.M.,Eckerle,I.,Memish,Z.A.,Liljander,A.M.,Dijkman,R.,Jonsdottir,H.,Juma Ngeiywa,K.J.,Kamau,E.,Younan,M.,Al Masri,M.,Assiri,A.,Gluecks,I.,Musa,B.E.,Meyer,B.,Muller,M.A.,Hilali,M.,Bornstein,S.,Wernery,U.,Thiel,V.,Jores,J.,Drexler,J.F.,Drosten,C.	University of Bonn Medical Centre, Institute of Virology
KT368916.1	camel/Taif/T193/2015	2015-03-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368915.1	camel/Taif/T157(a)/2015	2015-03-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368914.1	camel/Taif/T96/2015	2015-04-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368913.1	camel/Taif/T91(a)/2015	2015-04-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368912.1	camel/Jeddah/Jd28/2015	2015-01-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368911.1	camel/Jeddah/Jd8/2015	2015-01-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368910.1	camel/Jeddah/Jd6(a)/2015	2015-01-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368909.1	camel/Jeddah/Jd1(a)/2015	2015-01-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368908.1	camel/Riyadh/Ry159(a)/2015	2015-03-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368907.1	camel/Riyadh/Ry141/2015	2015-03-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368906.1	camel/Jeddah/D50(a)/2014	2014-12-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368905.1	camel/Jeddah/D46(a)/2014	2014-12-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368904.1	camel/Jeddah/D43(a)/2014	2014-12-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368903.1	camel/Jeddah/D38(a)/2014	2014-12-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368902.1	camel/Jeddah/D33(a)/2014	2014-12-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368901.1	camel/Jeddah/N68(a)/2014	2014-11-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368900.1	camel/Jeddah/N62(a)/2014	2014-11-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368899.1	camel/Jeddah/N60/2014	2014-11-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368898.1	camel/Jeddah/N38/2014	2014-11-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368897.1	camel/Jeddah/O100/2014	2014-10-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368896.1	camel/Jeddah/O47(a)/2014	2014-10-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368895.1	camel/Jeddah/O23(a)/2014	2014-10-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368894.1	camel/Jeddah/Jd63/2014	2014-06-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368893.1	camel/Jeddah/Jd55/2014	2014-06-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT368892.1	camel/Jeddah/Jd29/2014	2014-06-XX	Asia	Saudi Arabia	Camelus			Sabir et al	Sabir,J.S.M.,Lam,T.Y.,Ahmed,M.M.,Li,L.,Shen,Y.,AboAba,S.,Qureshi,M.I.,Abu-Zaid,M.,Zhang,Y.,Khiyami,M.A.,Alharbi,N.S.,Hajrah,N.H.,Sabir,M.J.,Mutwakil,M.H.Z.,Kabli,S.A.,Alsulaimany,F.A.S.,Obaid,A.Y.,Zhou,B.,Smith,D.K.,Holmes,E.C.,Zhu,H.,Guan,Y.	The University of Hong Kong, Centre of Influenza Research & State Key Laboratory of Emerging Infectious Diseases
KT359785.1	13MYKL1719	2013-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359784.1	12MYKL1616	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359783.1	12MYKL1586	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359782.1	12MYKL1271	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359781.1	12MYKL1102	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359780.1	12MYKL0784	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359779.1	12MYKL0667	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359778.1	12MYKL0543	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359777.1	12MYKL0424	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359776.1	12MYKL0415	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359775.1	12MYKL0367	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359774.1	12MYKL0335	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359773.1	12MYKL0126	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359772.1	12MYKL0052	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
KT359771.1	12MYKL0051	2012-XX-XX	Asia	Malaysia	Homo sapiens			Al-Khannaq et al	Al-Khannaq,M.N.,Ng,K.T.,Oong,X.Y.,Pang,Y.K.,Takebe,Y.,Chook,J.B.,Hanafi,N.S.,Kamarulzaman,A.,Tee,K.K.	University of Malaya, Department of Medicine
